date,generation_biomass,generation_fossil_hard_coal,generation_fossil_oil,generation_nuclear,generation_other_renewable,generation_solar,generation_waste,price_actual
2015-01-01 00:00:00+01:00,447,4821,162,7096,73,49,196,65.41
2015-01-01 01:00:00+01:00,449,4755,158,7096,71,50,195,64.92
2015-01-01 02:00:00+01:00,448,4581,157,7099,73,50,196,64.48
2015-01-01 03:00:00+01:00,438,4131,160,7098,75,50,191,59.32
2015-01-01 04:00:00+01:00,428,3840,156,7097,74,42,189,56.04
2015-01-01 05:00:00+01:00,410,3590,156,7098,74,34,188,53.63
2015-01-01 06:00:00+01:00,401,3368,158,7098,74,34,186,51.73
2015-01-01 07:00:00+01:00,408,3208,160,7099,72,35,189,51.43
2015-01-01 08:00:00+01:00,413,3335,161,7098,73,54,198,48.98
2015-01-01 09:00:00+01:00,419,3437,163,7097,74,743,198,54.2
2015-01-01 10:00:00+01:00,422,3516,167,7096,72,2019,204,58.94
2015-01-01 11:00:00+01:00,421,3845,166,7097,73,3197,206,59.86
2015-01-01 12:00:00+01:00,428,4220,167,7097,75,3885,209,60.12
2015-01-01 13:00:00+01:00,425,4404,167,7099,74,4007,210,62.05
2015-01-01 14:00:00+01:00,423,4256,166,7097,76,3973,210,62.06
2015-01-01 15:00:00+01:00,421,4038,160,7096,76,3818,210,59.76
2015-01-01 16:00:00+01:00,422,4191,163,7095,75,3088,211,61.18
2015-01-01 17:00:00+01:00,426,4707,165,7095,75,1467,208,64.74
2015-01-01 18:00:00+01:00,427,4756,164,7096,74,404,209,74.26
2015-01-01 19:00:00+01:00,442,4918,147,7096,76,139,208,74.24
2015-01-01 20:00:00+01:00,445,5025,154,7096,74,100,210,75.64
2015-01-01 21:00:00+01:00,443,5043,154,7096,74,75,212,73.92
2015-01-01 22:00:00+01:00,440,4990,154,7098,74,74,210,70.53
2015-01-01 23:00:00+01:00,438,4942,160,7098,74,56,209,64.13
2015-01-02 00:00:00+01:00,368,1291,193,7106,62,54,169,64.02
